[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/MaterialFBook4.0.2-debug-_224_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-8496de2d": Mon Aug 17 21:37:07 UTC 2026 - Mon Aug 17 21:37:34 UTC 2026
010f36e8aa452903    1 of   8   me/zeeroooo/materialfb/activities/MainActivity$3
ba264ac62112a540    1 of   2   androidx/coordinatorlayout/R$styleable
5953d825942d2ed6    8 of  12   me/zeeroooo/materialfb/webview/JavaScriptHelpers
8c762e4ff706dafd   17 of  40   me/zeeroooo/materialfb/ui/MFBFloatingActionButton
12a747f2d1390056    1 of   6   me/zeeroooo/materialfb/activities/MainActivity$4
d332c165a92a4ca1    8 of  15   me/zeeroooo/materialfb/ui/MFBResources
354e0964d1c1bbcb   38 of 141   me/zeeroooo/materialfb/activities/MainActivity$1
d775d56102281444    6 of  44   me/zeeroooo/materialfb/webview/MFBWebView
e8f0885465f3061b    1 of  24   me/zeeroooo/materialfb/adapters/AdapterBookmarks
090bb4ff2e238a87    1 of  17   me/zeeroooo/materialfb/misc/DatabaseHelper
74189bb5a69c149c  146 of 407   me/zeeroooo/materialfb/activities/MainActivity
b04877ecb6f607b6    6 of  64   me/zeeroooo/materialfb/activities/MainActivity$2
e3ff45cdd43d72e5    2 of  16   me/zeeroooo/materialfb/webview/JavaScriptInterfaces
455f23d40dbeb2ef   13 of  39   me/zeeroooo/materialfb/misc/UserInfo
ac3205cfc986d8ee    3 of   3   me/zeeroooo/materialfb/MFB
08bdcaaa4351d276    1 of   2   com/google/android/material/R$styleable
8ee39505dbe1f644    1 of   2   androidx/recyclerview/R$styleable
7af59bce9b25f826    1 of   2   androidx/appcompat/R$styleable
bd02e9db1546ff04   12 of  53   me/zeeroooo/materialfb/JacocoInstrument/JacocoInstrumentation
0d425a88c0dcf3b9    4 of   7   me/zeeroooo/materialfb/JacocoInstrument/SMSInstrumentedReceiver
dc521a1bd960eb5e   21 of  34   me/zeeroooo/materialfb/activities/MFBActivity
17c626dec91c4d7c   25 of  48   me/zeeroooo/materialfb/webview/Helpers

