[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Omni-Notes-6.1.0-_745-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
Session "unknownhost-6a6268d7": Mon Aug 17 12:51:20 UTC 2026 - Mon Aug 17 12:51:56 UTC 2026
746dfe1482d9fedf    3 of  17   it/feio/android/omninotes/intro/IntroActivity
2f7b44aa05af5815    1 of   2   it/feio/android/omninotes/models/views/Fab$2
82ddf73dc7d832d7  156 of 903   it/feio/android/omninotes/ListFragment
7df66d0633452fa4   54 of 241   it/feio/android/omninotes/MainActivity
66985d542e8e81a9   51 of 497   it/feio/android/omninotes/db/DbHelper
f17d6d8be1c41f54    2 of   4   it/feio/android/omninotes/async/UpdateWidgetsTask$WidgetUpdateSubscriber
b07f4f4a31cd495f    1 of   2   androidx/coordinatorlayout/R$styleable
0061a0ad74abb26c   17 of  29   it/feio/android/omninotes/models/misc/DynamicNavigationLookupTable
fcb056abc1873335    1 of   2   androidx/appcompat/R$styleable
daf24b2d6c5a8f46    4 of   8   it/feio/android/omninotes/MainActivity_ViewBinding
f866090e715ef98c    1 of   2   com/getbase/floatingactionbutton/R$styleable
6ede98d4ff8376e9   41 of  69   it/feio/android/omninotes/async/MainMenuTask
8758a83430ea119d   26 of  35   it/feio/android/omninotes/models/adapters/NavDrawerAdapter
c8e55fbd74e8a15e   24 of  72   it/feio/android/omninotes/BaseActivity
bd8e46c707d5256f    3 of   6   it/feio/android/omninotes/async/MainMenuTask_ViewBinding
abc09109fe10e2da   24 of  33   it/feio/android/omninotes/OmniNotes
ab8513def4311973    1 of  10   it/feio/android/omninotes/models/views/SquareImageView
1f7bd9352675d679   11 of  26   it/feio/android/omninotes/models/listeners/AbsListViewScrollDetector
caefad48dcf87168    4 of   7   it/feio/android/omninotes/JacocoInstrument/SMSInstrumentedReceiver
02d4a2d7e2a4239b    8 of  31   it/feio/android/omninotes/helpers/LanguageHelper
66f18bd84ad57af9   17 of  45   it/feio/android/omninotes/models/UndoBarController
82fa4450d67c335a    5 of   5   it/feio/android/omninotes/models/UndoBarController$2
726140d3bf735f5d   42 of  78   it/feio/android/omninotes/NavigationDrawerFragment
66d38d9608a24299    1 of   9   it/feio/android/omninotes/ListFragment$2
537331a5d5a4d85a    1 of   3   it/feio/android/omninotes/models/UndoBarController$1
f85951a4a8f6084c    3 of  47   it/feio/android/omninotes/models/adapters/CategoryBaseAdapter
f8aabd29a4d68f8d    1 of   2   com/pnikosis/materialishprogress/R$styleable
438e813af5527dca    1 of  11   it/feio/android/omninotes/models/views/Fab$1
2f8bdb3d81442d10    3 of   4   it/feio/android/omninotes/models/views/Fab$3
5b04bba39cf60722   13 of  16   it/feio/android/omninotes/models/holders/NoteViewHolder_ViewBinding
5ff464383b8e0502   11 of  14   it/feio/android/omninotes/models/views/NonScrollableListView
424ebe366250795c   11 of  40   it/feio/android/omninotes/helpers/LogDelegate
4397a2cce36cf487   31 of  55   it/feio/android/omninotes/db/SqlParser
f2e86475753116c4   42 of  77   it/feio/android/omninotes/async/CategoryMenuTask
711b9bec1f41cba0    1 of   1   it/feio/android/omninotes/async/bus/DynamicNavigationReadyEvent
e7ba85089d9032b7    2 of   2   it/feio/android/omninotes/models/holders/NoteViewHolder
ef75f4adb6d33155   25 of  69   it/feio/android/omninotes/models/views/Fab
e12ccf7befa961eb   12 of  15   it/feio/android/omninotes/ListFragment_ViewBinding
56e11b8789d33d42    1 of   1   it/feio/android/omninotes/models/adapters/NoteDrawerAdapterViewHolder
78d471be1108af92    5 of  25   it/feio/android/omninotes/utils/IntentChecker
98fe484bcd51732d    3 of   7   it/feio/android/omninotes/BaseFragment
402c9f574ef2b4ca   13 of  31   it/feio/android/omninotes/utils/Navigation
70fddbe177d2e0e6    1 of   4   it/feio/android/omninotes/NavigationDrawerFragment$1
9a01dc86ee5eb3ad    6 of  55   it/feio/android/omninotes/utils/notifications/NotificationsHelper
6695ec686d28c423    9 of 127   it/feio/android/omninotes/models/adapters/NoteAdapter
1bdc52437328a2a5   12 of  47   it/feio/android/omninotes/utils/Display
f1c74de3ff4b63a7    2 of   2   it/feio/android/omninotes/async/bus/NotesLoadedEvent
04122f99ff735e8c    2 of   7   it/feio/android/omninotes/models/views/InterceptorLinearLayout
76acae0fb2bf84e9   12 of  53   it/feio/android/omninotes/JacocoInstrument/JacocoInstrumentation
dc818df5be0e58a3   12 of  29   it/feio/android/omninotes/async/notes/NoteLoaderTask
98877cc496ed9677    3 of   9   it/feio/android/omninotes/models/NavigationItem
2e9ca6b78f1daf0c    3 of   4   it/feio/android/omninotes/async/UpdateWidgetsTask

